date,purchase_quantity
2021-04-01,3991.0
2021-05-01,7083.0
2021-06-01,13828.0
2021-07-01,13699.0
2021-08-01,10215.0
2021-09-01,8314.0
2021-10-01,10427.0
2021-11-01,15940.0
2021-12-01,11419.0
2022-01-01,18389.0
2022-02-01,10252.0
2022-03-01,28627.0
2022-04-01,6180.0
2022-05-01,9564.0
2022-06-01,14261.0
2022-07-01,10196.0
2022-08-01,9275.0
2022-09-01,11516.0
2022-10-01,10399.0
2022-11-01,6962.0
2022-12-01,17862.0
2023-01-01,10371.0
2023-02-01,8509.0
2023-03-01,13657.0
2023-04-01,9235.0
2023-05-01,8681.0
2023-06-01,12554.0
2023-07-01,7443.0
2023-08-01,12884.0
2023-09-01,6994.0
2023-10-01,13426.0
2023-11-01,14796.0
2023-12-01,13018.0
2024-01-01,8374.0
2024-02-01,10689.0
2024-03-01,17934.0
2024-04-01,11177.0
2024-05-01,23185.0
2024-06-01,20853.0
2024-07-01,162802.0
2024-08-01,21053.0
2024-10-01,14737.0
2024-11-01,12782.0
2024-12-01,154727.0
2025-01-01,9363.0
2025-02-01,17135.0
2025-03-01,85746.0
